CardholdeNDD,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,State Bank Of India
ND-004-1018,Emmanuel,Akpobari,M,ND-004,02/14/2002,Mechanic,Current,1
CD-005-1022,Habiba,Zainab,M,CD-005,06/28/1987,Factory Worker,Current,0
CD-005-1024,Abdulkadir,Sadiq,F,CD-005,09/28/2003,Trader,Current,1
CD-006-1007,Adetokunbo,Adeniyi,M,CD-006,08/20/1978,Human Resources Specialist,Current,1
CD-006-1036,Qudus,Ademola,F,CD-006,10-02-1985,Trader,Current,1
CD-006-1037,Folasade,Abimbola,F,CD-006,08/30/1991,Marketing Executive,Savings,1
WD-005-1151,Deborah,Okereke,F,WD-005,11-09-1982,Software Developer,Savings,1
ND-001-1037,Onyinye,Okon,M,ND-001,06-01-1991,Electrician,Savings,1
ND-003-1033,Chukwuemeka,Nnamani,M,ND-003,04/23/1990,Engineer,Savings,1
SD-009-1001,Obinna,Eze,M,SD-009,02/28/1997,Manager,Current,1
SD-007-1053,Chidinma,Nwankwo,M,SD-007,02/20/1997,Construction Worker,Current,1
ND-008-1040,Ijeoma,Brown,F,ND-008,05/17/1982,Health Professional,Savings,1
ND-008-1077,Maxwell,Akobo,M,ND-008,10-06-2002,Student,Savings,1
CD-006-1013,Sadiya,Fadila,F,CD-006,11-10-1987,Health Professional,Savings,1
CD-005-1013,Fati,Zainab,M,CD-005,07/14/1990,Accountant,Current,1
SD-009-1053,Obiageli,Uzoma,F,SD-009,01/27/1984,Manager,Savings,0
ED-010-1045,Sadiya,Musa,F,ED-010,04/23/1986,Human Resources Specialist,Current,1
CD-004-1028,Ruqayya,Rukayat,M,CD-004,03-06-1990,Marketing Executive,Current,0
CD-006-1028,Jideofor,Aikhomu,F,CD-006,07/24/1986,Trader,Current,1
CD-003-1030,Benedict,Agboola,F,CD-003,07-11-1985,Marketing Executive,Savings,0
CD-004-1038,Jideofor,Oni,M,CD-004,03/21/1989,Trader,Savings,0
ED-005-1178,Aliyu,Rukayya,M,ED-005,11-09-1997,Marketing Executive,Current,1
CD-004-1013,Habiba,Danladi,F,CD-004,03/21/1996,Health Professional,Savings,1
CD-006-1008,Usman,Sadiq,M,CD-006,12/22/1993,Human Resources Specialist,Current,1
CD-005-1042,Adesanmi,Adebayo,M,CD-005,08/21/1982,Human Resources Specialist,Savings,1
ED-005-1009,Ibrahim,Ali,M,ED-005,06-09-1992,Factory Worker,Current,1
ED-005-1121,Rabi,Danjuma,M,ED-005,07-08-1993,Marketing Executive,Current,1
ND-007-1041,Olufunke,Ezeani,M,ND-007,11-11-1990,Factory Worker,Current,1
CD-001-1024,Ruqayya,Sadiq,M,CD-001,04/15/2001,Lawyer,Current,0
SD-008-1046,Amarachi,Ojukwu,M,SD-008,11-09-2001,Mechanic,Savings,1
SD-008-1080,Ikenna,Madu,F,SD-008,12/28/1998,Trader,Current,1
ED-005-1172,Aliyu,Fati,F,ED-005,12/18/1989,Engineer,Current,1
CD-006-1035,Chris,Oluwafemi,F,CD-006,08-11-1979,Health Professional,Savings,0
SD-009-1032,Uzoma,Orji,M,SD-009,06/17/1986,Engineer,Savings,1
WD-006-1249,Edith,Akande,M,WD-006,09-11-1990,Factory Worker,Current,0
WD-011-1064,Gbolahan,Ogunnaike,M,WD-011,02/28/1988,Software Developer,Savings,1
SD-006-1021,Chinweuba,Okeke,M,SD-006,03/29/2002,Manager,Current,1
WD-003-1154,Damilola,Okoye,M,WD-003,03-08-1992,Farmer,Savings,1
CD-006-1034,Christian,Nwachukwu,F,CD-006,12/15/1987,Health Professional,Savings,1
WD-015-1006,Edwin,Adebayo,M,WD-015,12-08-1999,Plumber,Savings,0
SD-001-1031,Uchenna,Eze,M,SD-001,09/19/2006,Student,Savings,1
CD-001-1030,Oluwatobi,Nwosu,M,CD-001,08/19/2002,Lawyer,Savings,0
CD-005-1017,Nasiru,Nafisa,M,CD-005,03/20/1997,Farmer,Current,0
CD-006-1033,Oluwadamilare,Yusuf,F,CD-006,12-10-1990,Trader,Current,1
ED-004-1040,Musa,Musa,M,ED-004,08-02-1996,Health Professional,Current,1
